Year_Month,Mean_Sea_Level,North_Extent,South_Extent,Moving_Average_North,Moving_Average_South
1992-04-01,6.978,14.6769,6.7941,,
1992-05-01,7.042,13.215548387096774,9.924774193548387,,
1992-06-01,7.136,12.146766666666668,12.8085,,
1992-07-01,7.081,10.323129032258064,15.894419354838709,,
1992-08-01,7.092,7.925258064516129,17.727032258064515,,
1992-09-01,7.07,7.473699999999999,18.147199999999998,,
1992-10-01,7.142,9.319516129032257,17.933967741935483,,
1992-11-01,7.018,11.378666666666668,15.8955,,
1992-12-01,7.027,13.407387096774194,10.20574193548387,,
1993-01-01,6.996,14.896064516129034,4.409387096774194,,
1993-02-01,6.986,15.685642857142856,2.482178571428572,,
1993-03-01,7.004,15.81316129032258,3.6681935483870967,,
1993-04-01,7.029,15.0772,6.6516,,
1993-05-01,6.998,13.368225806451614,10.103774193548386,,
1993-06-01,7.055,11.8709,13.147166666666667,,
1993-07-01,7.058,9.476354838709677,15.854870967741936,,
1993-08-01,7.092,7.335,17.491774193548387,,
1993-09-01,7.047,6.3966666666666665,18.543200000000002,,
1993-10-01,7.06,8.786129032258065,18.127548387096773,,
1993-11-01,7.063,11.318733333333334,16.042066666666667,,
1993-12-01,7.111,13.318967741935483,9.933354838709679,,
1994-01-01,7.093,14.729774193548387,4.965709677419356,,
1994-02-01,7.095,15.561892857142857,3.1975357142857144,,
1994-03-01,7.067,15.553612903225806,4.549354838709678,,
1994-04-01,7.031,14.888033333333334,7.221566666666666,,
1994-05-01,6.96,13.624387096774193,10.408000000000001,,
1994-06-01,7.006,12.0164,13.560133333333333,,
1994-07-01,7.037,9.925161290322581,16.295967741935485,,
1994-08-01,6.975,7.639290322580646,17.83958064516129,,
1994-09-01,6.998,7.137600000000001,18.612633333333335,,
1994-10-01,6.935,8.915290322580645,18.090064516129033,,
1994-11-01,6.841,11.1232,15.880433333333334,,
1994-12-01,6.958,13.271870967741936,10.100516129032258,,
1995-01-01,6.931,14.586387096774194,5.636,,
1995-02-01,7.013,15.225678571428572,3.560785714285714,,
1995-03-01,7.067,15.26016129032258,4.62641935483871,,
1995-04-01,7.085,14.4486,7.267633333333333,,
1995-05-01,7.054,12.972064516129032,10.415483870967742,,
1995-06-01,7.08,11.440433333333335,13.289866666666667,,
1995-07-01,7.117,8.98709677419355,15.743870967741936,,
1995-08-01,7.079,6.744354838709677,17.780193548387096,,
1995-09-01,7.06,6.080133333333333,18.372733333333333,,
1995-10-01,7.08,7.828935483870968,18.029645161290322,,
1995-11-01,7.151,10.760866666666667,15.633933333333335,,
1995-12-01,7.042,12.920838709677419,10.621903225806452,11.961944869518474,11.45723916600775
1996-01-01,7.008,14.180870967741937,5.8711290322580645,11.956038585916323,11.460979824609899
1996-02-01,7.033,15.154827586206897,2.9845862068965516,11.950788339610904,11.459241852524515
1996-03-01,6.987,15.122806451612904,4.183483870967741,11.944232837818788,11.463284218115913
1996-04-01,7.056,14.215866666666667,7.279933333333333,11.937208393374345,11.470737551449247
1996-05-01,7.095,13.094548387096774,10.91674193548387,11.934833275766819,11.484246859244942
1996-06-01,7.015,12.083833333333333,13.870366666666666,11.935732442433485,11.494108248133834
1996-07-01,7.084,10.164258064516128,16.119677419354836,11.93588070408223,11.500798893295123
1996-08-01,7.064,8.180451612903225,17.741387096774194,11.937554780023088,11.506987014934909
1996-09-01,7.128,7.582533333333333,18.6316,11.938987002245312,11.5148909038238
1996-10-01,7.138,9.160967741935485,17.964548387096773,11.936295622317,11.521397695938493
1996-11-01,7.141,10.4017,15.717899999999998,11.92753256676144,11.527325195938491
1996-12-01,7.124,12.861258064516129,9.653161290322581,11.924522738132408,11.527318727524515
1997-01-01,7.036,14.417483870967741,4.197258064516129,11.919920103723806,11.519579211395483
1997-02-01,7.101,15.436714285714286,2.489535714285714,11.914808198961902,11.513211056633576
1997-03-01,7.058,15.467516129032258,3.4573870967741938,11.91190468753717,11.507749699106695
1997-04-01,6.923,14.563033333333333,6.492333333333334,11.90650607642606,11.505211365773363
1997-05-01,7.05,13.177161290322582,10.123967741935484,11.90179130940097,11.508793874733936
1997-06-01,6.988,11.738366666666668,13.116033333333332,11.89556380940097,11.512391374733935
1997-07-01,6.914,9.410838709677419,15.920677419354838,11.887882777814948,11.51380066572856
1997-08-01,6.999,7.285032258064517,17.684354838709677,11.88609217361628,11.513991717955902
1997-09-01,6.97,6.686333333333334,18.596433333333334,11.88115578472739,11.516911440178124
1997-10-01,6.847,8.336548387096775,17.993387096774192,11.875220569673628,11.519572192866296
1997-11-01,6.768,10.684166666666666,15.732766666666667,11.870721680784738,11.520811081755186
1997-12-01,6.773,13.076193548387097,10.285387096774192,11.875185793687963,11.495030974228305
1998-01-01,6.908,14.720516129032259,4.464903225806451,11.872102814061481,11.500428851987216
1998-02-01,6.959,15.745821428571428,2.9895714285714283,11.873456498380033,11.501294533432208
1998-03-01,6.98,15.598096774193548,4.107483870967742,11.870463756444549,11.502471952787046
1998-04-01,6.975,14.891933333333332,6.853833333333333,11.868535423111217,11.507192230564824
1998-05-01,7.015,13.58983870967742,10.328451612903226,11.86877682096068,11.513243574650847
1998-06-01,7.152,11.7057,13.313233333333333,11.866795709849567,11.51508051909529
1998-07-01,7.083,9.415161290322581,15.96267741935484,11.8635164087743,11.516863852428624
1998-08-01,7.091,7.508870967741935,17.881354838709676,11.860327161462472,11.51953347608454
